name,height,co2_absorption,canopy_cover
Tilia cordata,4,0.7,1.8
Tilia cordata,4,0.7,1.8
Tilia cordata,5,2.3,19.6
Tilia cordata,5,2.3,19.6
Tilia cordata,4,1.4,7.1
Tilia cordata,4,2.4,12.6
Platanus x hispanica,5,1.5,4.9
Platanus x hispanica,5,1.5,4.9
Platanus x hispanica,6,2.4,3.1
Platanus x hispanica,6,2.4,3.1
Platanus x hispanica,5,2.2,1.8
Platanus x hispanica,6,2.2,3.1
Platanus x hispanica,6,2.2,3.1
Platanus x hispanica,7,2.2,7.1
Platanus x hispanica,7,2.2,7.1
Platanus x hispanica,7,2.2,7.1
Platanus x hispanica,4,1.5,4.9
Platanus x hispanica,6,1.5,4.9
Platanus x hispanica,5,2.7,7.1
Platanus x hispanica,5,2.2,7.1
Platanus x hispanica,6,2.7,7.1
Platanus x hispanica,6,2.7,7.1
Platanus x hispanica,6,2.7,7.1
Platanus x hispanica,6,1.5,4.9
Platanus x hispanica,6,1.5,4.9
Platanus x hispanica,6,1.5,4.9
Platanus x hispanica,7,1.7,7.1
Platanus x hispanica,7,2,7.1
Platanus x hispanica,7,2,7.1
Platanus x hispanica,6,1.7,4.9
Platanus x hispanica,7,1.7,7.1
Platanus x hispanica,7,1.7,7.1
Platanus x hispanica,6,1.5,7.1
Platanus x hispanica,6,1.5,7.1
Platanus x hispanica,6,1.5,7.1
Acer campestre,5,0.8,7.1
Acer campestre,5,0.7,12.6
Sophora japonica,8,1.1,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,4,0.7,7.1
Celtis australis,4,0.7,12.6
Celtis australis,4,0.7,12.6
Celtis australis,4,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,4,0.8,12.6
Celtis australis,4,0.7,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,4,0.7,12.6
Celtis australis,5,0.8,12.6
Celtis australis,5,0.7,7.1
Celtis australis,5,0.8,12.6
Celtis australis,5,0.8,12.6
Celtis australis,4.5,0.7,12.6
Celtis australis,5,0.7,12.6
Celtis australis,4,0.8,19.6
Celtis australis,5,0.7,12.6
Sophora japonica,8,1.8,12.6
Sophora japonica,8,1.1,12.6
Sophora japonica,8,1.1,12.6
Sophora japonica,8,1.1,12.6
Sophora japonica,8,1.1,12.6
Sophora japonica,8,1.1,12.6
Sophora japonica,6,0.4,3.1
Sophora japonica,6,0.4,3.1
Sophora japonica,6,0.4,3.1
Sophora japonica,6,0.4,3.1
Sophora japonica,5,0.6,7.1
Sophora japonica,5,0.6,19.6
Sophora japonica,5,0.6,12.6
Sophora japonica,5,0.6,12.6
Sophora japonica,5,0.7,7.1
Sophora japonica,5,0.6,7.1
Sophora japonica,6,0.7,12.6
Sophora japonica,6,0.6,7.1
Sophora japonica,6,0.6,7.1
Sophora japonica,6,0.6,12.6
Sophora japonica,6,0.5,28.3
Sophora japonica,6,0.7,12.6
Sophora japonica,6,0.6,12.6
Sophora japonica,6,0.7,12.6
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.6,3.1
Sophora japonica,6,0.9,12.6
Sophora japonica,6,0.9,19.6
Sophora japonica,6,0.5,7.1
Sophora japonica,6,0.5,7.1
Sophora japonica,6,0.5,7.1
Sophora japonica,6,0.5,7.1
Sophora japonica,6,0.5,7.1
Sophora japonica,6,0.5,7.1
Sophora japonica,6,1.9,38.5
Sophora japonica,6,1.5,28.3
Sophora japonica,6,1.3,19.6
Sophora japonica,4,0.4,1.8
Sophora japonica,6,1.6,28.3
Sophora japonica,4,0.7,9.6
Sophora japonica,4,0.6,9.6
Sophora japonica,6,1.5,28.3
Sophora japonica,4,0.7,1.8
Sophora japonica,5,1.3,19.6
Sophora japonica,4,0.7,1.8
Sophora japonica,4,0.8,4.9
Sophora japonica,6,1.5,28.3
Sophora japonica,6,1.8,28.3
Sophora japonica,4,0.7,1.8
Sophora japonica,4,0.7,3.1
Sophora japonica,6,1.5,28.3
Sophora japonica,3.5,0.7,1.8
Sophora japonica,4,0.7,3.1
Sophora japonica,5,0.9,7.1
Sophora japonica,5,0.9,7.1
Sophora japonica,5,0.9,7.1
Sophora japonica,4,0.7,1.8
Sophora japonica,2.5,0.6,1.8
Sophora japonica,6,1.8,28.3
Sophora japonica,6,1.3,28.3
Sophora japonica,4,0.6,1.8
Sophora japonica,6,1.3,28.3
Sophora japonica,4,1.2,19.6
Sophora japonica,5,1.2,19.6
Sophora japonica,4,1.2,19.6
Sophora japonica,5,1.2,19.6
Sophora japonica,8,0.3,1.8
Sophora japonica,6,1.9,19.6
Sophora japonica,3.5,0.7,1.8
Sophora japonica,2.5,0.5,0.8
Sophora japonica,2.5,0.5,1.8
Sophora japonica,5,1.8,19.6
Sophora japonica,4,1.1,3.1
Sophora japonica,4,1.1,3.1
Sophora japonica,3,0.6,1.8
Sophora japonica,4,0.7,3.1
Sophora japonica,3,0.6,1.8
Sophora japonica,4,1.1,3.1
Sophora japonica,3,0.3,1.8
Sophora japonica,3,0.5,1.8
Sophora japonica,4,0.7,3.1
Sophora japonica,2.5,0.9,1.8
Sophora japonica,4,0.7,4.9
Sophora japonica,3,0.8,3.1
Sophora japonica,6,2.1,28.3
Sophora japonica,5,1.6,19.6
Sophora japonica,6,1.5,28.3
Sophora japonica,6,2.1,28.3
Sophora japonica,5,1.3,19.6
Sophora japonica,6,2.2,28.3
Sophora japonica,4,0.8,1.8
Sophora japonica,6,1.6,28.3
Sophora japonica,6,1.6,28.3
Sophora japonica,6,1.2,28.3
Sophora japonica,6,1.2,28.3
Sophora japonica,6,1.2,28.3
Sophora japonica,6,1.2,28.3
Sophora japonica,5,1.2,19.6
Sophora japonica,5,0.8,3.1
