awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,img_online_path,img_local_path,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1939,Medicine,Gerhard Domagk,male,1895-10-30,"Munster University, Munster, Germany",Lagow,Poland,for the discovery of the antibacterial effects of prontosil,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1939,http://masterdataapi.nobelprize.org/2/laureate/334,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Gerhard_Domagk_nobel.jpg/220px-Gerhard_Domagk_nobel.jpg,faces/Q57192.jpg,44,Germany,Europe,Poland,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1939,Chemistry,Leopold Ruzicka,male,1887-09-13,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland",Vukovar,Croatia,for his work on polymethylenes and higher terpenes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,http://masterdataapi.nobelprize.org/2/laureate/200,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Leopold_Ruzicka_ETH-Bib_Portr_00239.jpg/220px-Leopold_Ruzicka_ETH-Bib_Portr_00239.jpg,faces/Q122996.jpg,52,Switzerland,Europe,Croatia,47.0,8.43,48.55,5.72,0.0,0.0,0.0,0.0
1939,Literature,Frans Eemil Sillanpää,male,1888-09-16,,Hämeenkyrö,Finland,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1939,http://masterdataapi.nobelprize.org/2/laureate/613,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/FransEemilSillanp%C3%A4%C3%A4.jpg/220px-FransEemilSillanp%C3%A4%C3%A4.jpg,faces/Q132723.jpg,51,,,Europe,0.0,0.0,0.0,0.0,63.55,27.32,48.55,5.72
1939,Physics,Ernest Lawrence,male,1901-08-08,"University of California, Berkeley, CA, USA","Canton, SD",USA,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1939,http://masterdataapi.nobelprize.org/2/laureate/47,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ernest_Lawrence.jpg/220px-Ernest_Lawrence.jpg,faces/Q169577.jpg,38,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1939,Chemistry,Adolf Butenandt,male,1903-03-24,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie, Berlin-Dahlem, Germany",Bremerhaven-Lehe,Germany,for his work on sex hormones,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,http://masterdataapi.nobelprize.org/2/laureate/199,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/A._Butenandt_1921.jpg/220px-A._Butenandt_1921.jpg,faces/Q5327.jpg,36,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1943,Medicine,Edward A. Doisy,male,1893-11-13,"Saint Louis University, St. Louis, MO, USA","Hume, IL",USA,for his discovery of the chemical nature of vitamin K,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1943,http://masterdataapi.nobelprize.org/2/laureate/336,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Edward_A_Doisy.jpg/220px-Edward_A_Doisy.jpg,faces/Q230612.jpg,50,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1943,Medicine,Henrik Dam,male,1895-02-21,"Polytechnic Institute, Copenhagen, Denmark",Copenhagen,Denmark,for his discovery of vitamin K,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1943,http://masterdataapi.nobelprize.org/2/laureate/335,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Henrik_Dam_nobel.jpg/220px-Henrik_Dam_nobel.jpg,faces/Q190501.jpg,48,Denmark,Europe,Europe,56.31,9.69,48.55,5.72,56.31,9.69,48.55,5.72
1943,Physics,Otto Stern,male,1888-02-17,"Carnegie Institute of Technology, Pittsburgh, PA, USA",Zory,Poland,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1943,http://masterdataapi.nobelprize.org/2/laureate/48,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Otto_Stern.jpg/220px-Otto_Stern.jpg,faces/Q57072.jpg,55,USA,North America,Poland,38.51,-100.3,38.51,-100.3,0.0,0.0,0.0,0.0
1943,Chemistry,George de Hevesy,male,1885-08-01,"Stockholm University, Stockholm, Sweden",Budapest,Hungary,for his work on the use of isotopes as tracers in the study of chemical processes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1943,http://masterdataapi.nobelprize.org/2/laureate/201,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/George_de_Hevesy.jpg/220px-George_de_Hevesy.jpg,faces/Q76951.jpg,58,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,46.66,18.98,48.55,5.72
1944,Chemistry,Otto Hahn,male,1879-03-08,"Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie, Berlin-Dahlem, Germany",Frankfurt-on-the-Main,Germany,for his discovery of the fission of heavy nuclei,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1944,http://masterdataapi.nobelprize.org/2/laureate/202,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Otto_Hahn_%28Nobel%29.jpg/220px-Otto_Hahn_%28Nobel%29.jpg,faces/Q57065.jpg,65,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
