source,target,weight
William Faulkner,Literature,1
Walter Hess,Medicine,1
Walter Hess,Europe,1
Bertrand Russell,Literature,1
Edward C. Kendall,Medicine,1
Edward C. Kendall,North America,1
Tadeus Reichstein,Medicine,1
Tadeus Reichstein,Europe,1
Otto Diels,Chemistry,1
Otto Diels,Europe,1
Philip S. Hench,Medicine,1
Philip S. Hench,North America,1
Kurt Alder,Chemistry,1
Kurt Alder,Europe,1
Ralph Bunche,Peace,1
Ralph Bunche,North America,1
Cecil Powell,Physics,1
Cecil Powell,Europe,1
Max Theiler,Medicine,1
Max Theiler,North America,1
Pär Lagerkvist,Literature,1
John Cockcroft,Physics,1
John Cockcroft,Europe,1
Ernest T.S. Walton,Physics,1
Ernest T.S. Walton,Europe,1
Glenn T. Seaborg,Chemistry,1
Glenn T. Seaborg,North America,1
Léon Jouhaux,Peace,1
Edwin M. McMillan,Chemistry,1
Edwin M. McMillan,North America,1
E. M. Purcell,Physics,1
E. M. Purcell,North America,1
Albert Schweitzer,Peace,1
Archer J.P. Martin,Chemistry,1
Archer J.P. Martin,Europe,1
Selman A. Waksman,Medicine,1
Selman A. Waksman,North America,1
François Mauriac,Literature,1
Felix Bloch,Physics,1
Felix Bloch,North America,1
Richard L.M. Synge,Chemistry,1
Richard L.M. Synge,Europe,1
Winston Churchill,Literature,1
Hermann Staudinger,Chemistry,1
Hermann Staudinger,Europe,1
Fritz Lipmann,Medicine,1
Fritz Lipmann,North America,1
Hans Krebs,Medicine,1
Hans Krebs,Europe,1
Frits Zernike,Physics,1
Frits Zernike,Europe,1
George C. Marshall,Peace,1
Max Born,Physics,1
Max Born,Europe,1
Thomas H. Weller,Medicine,1
Thomas H. Weller,North America,1
John F. Enders,Medicine,1
John F. Enders,North America,1
Linus Pauling,Chemistry,1
Linus Pauling,North America,1
Ernest Hemingway,Literature,1
Frederick C. Robbins,Medicine,1
Frederick C. Robbins,North America,1
Walther Bothe,Physics,1
Walther Bothe,Europe,1
Hugo Theorell,Medicine,1
Hugo Theorell,Europe,1
Halldór Laxness,Literature,1
Polykarp Kusch,Physics,1
Polykarp Kusch,North America,1
Willis E. Lamb,Physics,1
Willis E. Lamb,North America,1
Vincent du Vigneaud,Chemistry,1
Vincent du Vigneaud,North America,1
Dickinson W. Richards,Medicine,1
Dickinson W. Richards,North America,1
Walter H. Brattain,Physics,1
Walter H. Brattain,North America,1
Werner Forssmann,Medicine,1
Werner Forssmann,Europe,1
André F. Cournand,Medicine,1
André F. Cournand,North America,1
Nikolay Semenov,Chemistry,1
Nikolay Semenov,Russia,1
John Bardeen,Physics,1
John Bardeen,North America,1
William B. Shockley,Physics,1
William B. Shockley,North America,1
Sir Cyril Hinshelwood,Chemistry,1
Sir Cyril Hinshelwood,Europe,1
Juan Ramón Jiménez,Literature,1
Lester Bowles Pearson,Peace,1
Chen Ning Yang,Physics,1
Chen Ning Yang,North America,1
Lord Todd,Chemistry,1
Lord Todd,Europe,1
Albert Camus,Literature,1
Daniel Bovet,Medicine,1
Daniel Bovet,Europe,1
